City_1,City_2,Distance
Agartala,Bangalore,1880.0
Aizawl,Bangalore,1992.76
Amaravathi,Bangalore,498.0
Bangalore,Bangalore,0.0
Bhopal,Bangalore,1142.69
Bhubaneswar,Bangalore,1196.18
Chandigarh,Bangalore,1976.13
Chennai,Bangalore,290.0
Dehradun,Bangalore,1928.64
Dispur,Bangalore,2084.85
Hyderabad,Bangalore,497.05
Imphal,Bangalore,2162.48
Jaipur,Bangalore,1561.59
Kohima,Bangalore,2231.96
Kolkata,Bangalore,1561.76
Lucknow,Bangalore,1581.77
Mumbai,Bangalore,845.0
Patna,Bangalore,1612.1
Raipur,Bangalore,1015.75
Srinagar,Bangalore,1921.61
Panaji,Bangalore,491.19
Thiruvananthapuram,Bangalore,499.0
Gandhinagar,Bangalore,1252.37
Ranchi,Bangalore,1415.42
Shillong,Bangalore,2050.43
Itanagar,Bangalore,2292.67
Gangtok,Bangalore,1965.92
Shimla,Bangalore,2015.32
Meghalaya,Bangalore,2006.88
Amaravati,Bangalore,294.92
Delhi,Bangalore,1741.22
